document_id,file_name,date,author,document_type
0,email_0.txt,2020-02-20 00:00:00,Sarah Lee,email
1,email_1.txt,2020-07-18 00:00:00,John Smith,email
2,email_2.txt,2020-09-14 00:00:00,John Smith,email
3,email_3.txt,2021-04-15 00:00:00,Finance Team,email
4,email_4.txt,2020-09-10 00:00:00,John Smith,email
5,email_5.txt,2020-07-29 00:00:00,John Smith,email
6,email_6.txt,2020-03-20 00:00:00,Sarah Lee,email
7,email_7.txt,2020-11-01 00:00:00,Legal Dept,email
8,email_8.txt,2020-05-21 00:00:00,Finance Team,email
9,email_9.txt,2021-12-16 00:00:00,Legal Dept,email
10,doc_10.pdf,2022-06-22 00:00:00,John Smith,email
11,doc_11.pdf,2020-08-10 00:00:00,Finance Team,report
12,doc_12.pdf,2020-09-25 00:00:00,HR Team,contract
13,doc_13.pdf,2021-08-09 00:00:00,Legal Dept,contract
14,doc_14.pdf,2020-09-02 00:00:00,Legal Dept,report
15,doc_15.pdf,2020-08-24 00:00:00,Legal Dept,report
16,doc_16.pdf,2020-11-20 00:00:00,HR Team,note
17,doc_17.pdf,2021-11-27 00:00:00,Finance Team,report
18,doc_18.pdf,2022-04-29 00:00:00,Finance Team,contract
19,doc_19.pdf,2021-05-07 00:00:00,Sarah Lee,note
20,irrelevant_20.txt,2020-04-11 00:00:00,Legal Dept,irrelevant
21,irrelevant_21.txt,2020-03-16 00:00:00,Sarah Lee,irrelevant
22,irrelevant_22.txt,2021-02-24 00:00:00,Finance Team,irrelevant
23,irrelevant_23.txt,2022-09-15 00:00:00,Sarah Lee,irrelevant
24,irrelevant_24.txt,2020-04-27 00:00:00,Finance Team,irrelevant
25,irrelevant_25.txt,2022-05-06 00:00:00,HR Team,irrelevant
26,irrelevant_26.txt,2020-04-22 00:00:00,John Smith,irrelevant
27,irrelevant_27.txt,2020-05-06 00:00:00,Finance Team,irrelevant
28,irrelevant_28.txt,2021-12-12 00:00:00,Legal Dept,irrelevant
29,irrelevant_29.txt,2021-04-03 00:00:00,Finance Team,irrelevant
